question,answer,option_a,option_b,option_c,option_d,correct_option,module,type,difficulty
"What is $\sin^2(A) + \cos^2(A)$?","1","0","1","2","$\sin(A)$","B","trigonometry","revision","easy"
"What is $\tan(45°)$?","1","0","1","$\sqrt{2}$","$\frac{1}{\sqrt{2}}$","B","trigonometry","revision","easy"
"What is $\sin(30°)$?","$\frac{1}{2}$","$\frac{1}{2}$","$\frac{\sqrt{3}}{2}$","$\frac{1}{\sqrt{2}}$","1","A","trigonometry","revision","easy"
"What is $\cos(60°)$?","$\frac{1}{2}$","$\frac{1}{2}$","$\frac{\sqrt{3}}{2}$","$\frac{1}{\sqrt{2}}$","1","A","trigonometry","revision","easy"
"What is $\sin(90°)$?","1","0","1","$\frac{1}{2}$","$\frac{\sqrt{3}}{2}$","B","trigonometry","revision","easy"
"What is $\cos(0°)$?","1","0","1","$\frac{1}{2}$","$\frac{\sqrt{3}}{2}$","B","trigonometry","revision","easy"
"What is the value of $\tan(60°)$?","$\sqrt{3}$","1","$\sqrt{3}$","$\frac{1}{\sqrt{3}}$","$\frac{\sqrt{3}}{2}$","B","trigonometry","revision","medium"
"Express $\sin(A + B)$ in terms of $\sin A$, $\cos A$, $\sin B$, $\cos B$","$\sin A \cos B + \cos A \sin B$","$\sin A \cos B + \cos A \sin B$","$\sin A \sin B + \cos A \cos B$","$\sin A \cos B - \cos A \sin B$","$\cos A \cos B - \sin A \sin B$","A","trigonometry","revision","medium"
"What is the identity for $\cos(A + B)$?","$\cos A \cos B - \sin A \sin B$","$\cos A \cos B - \sin A \sin B$","$\cos A \cos B + \sin A \sin B$","$\sin A \cos B + \cos A \sin B$","$\sin A \cos B - \cos A \sin B$","A","trigonometry","revision","medium"
"What is $\tan(A + B)$ equal to?","$\frac{\tan A + \tan B}{1 - \tan A \tan B}$","$\frac{\tan A + \tan B}{1 - \tan A \tan B}$","$\frac{\tan A + \tan B}{1 + \tan A \tan B}$","$\frac{\tan A - \tan B}{1 + \tan A \tan B}$","$\tan A + \tan B$","A","trigonometry","revision","medium"
"What is $\sin(2A)$ equal to?","$2\sin A \cos A$","$2\sin A \cos A$","$\sin^2 A + \cos^2 A$","$2\sin A$","$2\cos A$","A","trigonometry","mock","easy"
"What is $\cos(2A)$ equal to?","$\cos^2 A - \sin^2 A$","$\cos^2 A - \sin^2 A$","$2\cos^2 A$","$2\sin A \cos A$","$\sin^2 A + \cos^2 A$","A","trigonometry","mock","easy"
"The value of $\sin(A - B)$ is:","$\sin A \cos B - \cos A \sin B$","$\sin A \cos B - \cos A \sin B$","$\sin A \cos B + \cos A \sin B$","$\cos A \cos B - \sin A \sin B$","$\cos A \cos B + \sin A \sin B$","A","trigonometry","mock","medium"
"If $\sin A = \frac{3}{5}$ and $A$ is in first quadrant, then $\cos A$ is:","$\frac{4}{5}$","$\frac{4}{5}$","$\frac{3}{4}$","$\frac{5}{4}$","$\frac{3}{5}$","A","trigonometry","mock","medium"
"The value of $\tan(A - B)$ is:","$\frac{\tan A - \tan B}{1 + \tan A \tan B}$","$\frac{\tan A - \tan B}{1 + \tan A \tan B}$","$\frac{\tan A + \tan B}{1 - \tan A \tan B}$","$\tan A - \tan B$","$\frac{\tan A - \tan B}{1 - \tan A \tan B}$","A","trigonometry","mock","hard"